2022-10-08 16:10:152 INFO  ManageDriver :31 - Launching Chrome Browser
2022-10-08 16:10:934 INFO  HomePage :35 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (937ff2f1372d9d85447a28e8f3865839)] -> xpath: //span[normalize-space()='Features']]
2022-10-08 16:10:233 INFO  HomePage :40 - Getting text from : [[ChromeDriver: chrome on WINDOWS (937ff2f1372d9d85447a28e8f3865839)] -> xpath: //h1[@id='features--benefits']]
2022-10-08 16:10:893 INFO  ManageDriver :31 - Launching Chrome Browser
2022-10-08 16:10:948 INFO  HomePage :35 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (9265ec7fe9a736fdd3ea9f51ae4aafbe)] -> xpath: //span[normalize-space()='Features']]
2022-10-08 16:10:418 INFO  HomePage :40 - Getting text from : [[ChromeDriver: chrome on WINDOWS (9265ec7fe9a736fdd3ea9f51ae4aafbe)] -> xpath: //h1[@id='features--benefits']]
2022-10-08 16:10:479 INFO  ManageDriver :31 - Launching Chrome Browser
2022-10-08 16:10:301 INFO  ManageDriver :31 - Launching Chrome Browser
2022-10-08 16:10:90 INFO  ManageDriver :31 - Launching Chrome Browser
2022-10-08 16:10:669 INFO  ManageDriver :31 - Launching Chrome Browser
2022-10-08 16:10:575 INFO  ManageDriver :31 - Launching Chrome Browser
2022-10-08 16:10:708 INFO  HomePage :35 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (d0a18a0f81336d0fa8b98390fae08315)] -> xpath: //span[normalize-space()='Features']]
2022-10-08 16:10:44 INFO  HomePage :40 - Getting text from : [[ChromeDriver: chrome on WINDOWS (d0a18a0f81336d0fa8b98390fae08315)] -> xpath: //h1[@id='features--benefits']]
2022-10-08 16:10:670 INFO  ManageDriver :31 - Launching Chrome Browser
2022-10-08 16:10:913 INFO  HomePage :35 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (cc72097cd1d1952605e99a0738317988)] -> xpath: //span[normalize-space()='Features']]
2022-10-08 16:10:290 INFO  HomePage :40 - Getting text from : [[ChromeDriver: chrome on WINDOWS (cc72097cd1d1952605e99a0738317988)] -> xpath: //h1[@id='features--benefits']]
